song_id,title,artist,genre,release_year,rating,plays
1,Boom Padi,AR Rahman,Pop,2024,4.8,15000000
2,Kesariya,Pritam,Romantic,2022,4.7,22000000
3,Let Me Down Slowly,Anuv Jain,Indie,2023,4.5,8000000
4,Bad Habit,Ed Sheeran,Pop,2023,4.6,18000000
5,Guli Mata,Saad Lamjarred,Pop,2023,4.4,9500000
6,Shape of You,Ed Sheeran,Pop,2017,4.8,35000000
7,Blinding Lights,The Weeknd,Pop,2019,4.7,30000000
8,Starboy,The Weeknd,Pop,2016,4.5,25000000
9,Tu Hai,Tanishk Bagchi,Romantic,2024,4.3,7000000
10,Peaches,Justin Bieber,Pop,2021,4.2,20000000
11,Bohemian Rhapsody,Queen,Rock,1975,4.9,40000000
12,Hotel California,Eagles,Rock,1976,4.8,35000000
13,Numb,Linking Park,Rock,2003,4.6,28000000
14,Senorita,Shawn Mendes,Pop,2019,4.5,22000000
15,Ghazal Ka Saara,Jagjit Singh,Classical,1990,4.9,5000000
16,Closer,Martin Garrix,Electronic,2016,4.4,15000000
17,Faded,Alan Walker,Electronic,2015,4.5,20000000
18,Channa Mereya,Arijit Singh,Romantic,2016,4.8,25000000
19,Thunder,Imagine Dragons,Rock,2017,4.4,18000000
20,Believer,Imagine Dragons,Rock,2017,4.6,22000000
